Longitud_WGS84,Latitud_WGS84,,,,,,,,,,,,,,,,
2.20510828,41.40668915,,,,,,,,,,,,,,,,
2.20510828,41.40668915,,,,,,,,,,,,,,,,
2.13154996,41.37803341,,,,,,,,,,,,,,,,
2.13154996,41.37803341,,,,,,,,,,,,,,,,
2.18050199,41.39156924,,,,,,,,,,,,,,,,
2.18050199,41.39156924,,,,,,,,,,,,,,,,
2.14519793,41.39256363,,,,,,,,,,,,,,,,
2.14519793,41.39256363,,,,,,,,,,,,,,,,
2.1429063,41.38024879,,,,,,,,,,,,,,,,
2.1429063,41.38024879,,,,,,,,,,,,,,,,
2.1429063,41.38024879,,,,,,,,,,,,,,,,
2.17861905,41.42270081,,,,,,,,,,,,,,,,
2.17861905,41.42270081,,,,,,,,,,,,,,,,
2.16952987,41.36269923,,,,,,,,,,,,,,,,
2.16952987,41.36269923,,,,,,,,,,,,,,,,
2.16952987,41.36269923,,,,,,,,,,,,,,,,
2.16952987,41.36269923,,,,,,,,,,,,,,,,
2.18000834,41.40353877,,,,,,,,,,,,,,,,
2.18000834,41.40353877,,,,,,,,,,,,,,,,
2.18000834,41.40353877,,,,,,,,,,,,,,,,
2.18363774,41.40808061,,,,,,,,,,,,,,,,
2.18363774,41.40808061,,,,,,,,,,,,,,,,
2.14942424,41.3856251,,,,,,,,,,,,,,,,
2.14942424,41.3856251,,,,,,,,,,,,,,,,
2.1480524,41.40767096,,,,,,,,,,,,,,,,
2.1480524,41.40767096,,,,,,,,,,,,,,,,
2.18173959,41.43925968,,,,,,,,,,,,,,,,
2.18173959,41.43925968,,,,,,,,,,,,,,,,
2.12327446,41.38727958,,,,,,,,,,,,,,,,
2.12327446,41.38727958,,,,,,,,,,,,,,,,
2.12327446,41.38727958,,,,,,,,,,,,,,,,
2.19022333,41.39227075,,,,,,,,,,,,,,,,
2.19022333,41.39227075,,,,,,,,,,,,,,,,
2.15296871,41.39682878,,,,,,,,,,,,,,,,
2.15296871,41.39682878,,,,,,,,,,,,,,,,
2.14320881,41.4113885,,,,,,,,,,,,,,,,
2.14320881,41.4113885,,,,,,,,,,,,,,,,
2.21644042,41.40465451,,,,,,,,,,,,,,,,
2.21644042,41.40465451,,,,,,,,,,,,,,,,
2.21644042,41.40465451,,,,,,,,,,,,,,,,
2.15274704,41.39457523,,,,,,,,,,,,,,,,
2.15274704,41.39457523,,,,,,,,,,,,,,,,
2.15274704,41.39457523,,,,,,,,,,,,,,,,
2.18933499,41.44197057,,,,,,,,,,,,,,,,
2.18933499,41.44197057,,,,,,,,,,,,,,,,
2.18933499,41.44197057,,,,,,,,,,,,,,,,
2.142318,41.43413706,,,,,,,,,,,,,,,,
2.1498821,41.40579118,,,,,,,,,,,,,,,,
2.1498821,41.40579118,,,,,,,,,,,,,,,,
2.14884641,41.39304291,,,,,,,,,,,,,,,,
2.14884641,41.39304291,,,,,,,,,,,,,,,,
2.17589586,41.44495647,,,,,,,,,,,,,,,,
2.17589586,41.44495647,,,,,,,,,,,,,,,,
2.13863878,41.40643177,,,,,,,,,,,,,,,,
2.13863878,41.40643177,,,,,,,,,,,,,,,,
2.18771258,41.44455362,,,,,,,,,,,,,,,,
2.18771258,41.44455362,,,,,,,,,,,,,,,,
2.18771258,41.44455362,,,,,,,,,,,,,,,,
2.12717974,41.39731207,,,,,,,,,,,,,,,,
2.12717974,41.39731207,,,,,,,,,,,,,,,,
2.12884296,41.38055408,,,,,,,,,,,,,,,,
2.12884296,41.38055408,,,,,,,,,,,,,,,,
2.13767955,41.42393378,,,,,,,,,,,,,,,,
2.16243163,41.44136517,,,,,,,,,,,,,,,,
2.16243163,41.44136517,,,,,,,,,,,,,,,,
2.12866159,41.37292502,,,,,,,,,,,,,,,,
2.195364,41.38672473,,,,,,,,,,,,,,,,
2.195364,41.38672473,,,,,,,,,,,,,,,,
2.15687102,41.39586055,,,,,,,,,,,,,,,,
