Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
433509.447,4585389.777,2.20326199,41.41546391
430069.177,4588237.792,2.16177086,41.44082271
430069.177,4588237.792,2.16177086,41.44082271
427534.574,4584306.918,2.13190508,41.4051942
427534.574,4584306.918,2.13190508,41.4051942
427743.522,4584049.018,2.13443545,41.40289022
427743.522,4584049.018,2.13443545,41.40289022
430934.783,4582858.79,2.17274603,41.39245084
430934.783,4582858.79,2.17274603,41.39245084
427815.426,4583480.388,2.13536342,41.39777526
427815.426,4583480.388,2.13536342,41.39777526
427815.426,4583480.388,2.13536342,41.39777526
429323.935,4581915.852,2.15358979,41.3838181
429323.935,4581915.852,2.15358979,41.3838181
427746.592,4579719.633,2.13498871,41.36389736
427746.592,4579719.633,2.13498871,41.36389736
428121.635,4585794.455,2.13875106,41.41864456
433878.024,4584200.704,2.20780191,41.40478465
433878.024,4584200.704,2.20780191,41.40478465
433878.024,4584200.704,2.20780191,41.40478465
433723.918,4585600.717,2.20580495,41.41738151
433723.918,4585600.717,2.20580495,41.41738151
433716.26,4583157.32,2.20598108,41.39537382
433716.26,4583157.32,2.20598108,41.39537382
427394.621,4581507.579,2.13056665,41.37996904
427394.621,4581507.579,2.13056665,41.37996904
427100.135,4583138.74,2.12684881,41.39463362
427100.135,4583138.74,2.12684881,41.39463362
427100.135,4583138.74,2.12684881,41.39463362
427100.135,4583138.74,2.12684881,41.39463362
427100.135,4583138.74,2.12684881,41.39463362
427100.135,4583138.74,2.12684881,41.39463362
430498.665,4583050.268,2.16750791,41.39413783
430498.665,4583050.268,2.16750791,41.39413783
426848.127,4582296.782,2.12393637,41.38702756
426848.127,4582296.782,2.12393637,41.38702756
429381.568,4581915.019,2.15427911,41.38381566
429381.568,4581915.019,2.15427911,41.38381566
427200.372,4583487.593,2.12800575,41.39778468
427200.372,4583487.593,2.12800575,41.39778468
432340.148,4585728.879,2.18923376,41.41842044
432340.148,4585728.879,2.18923376,41.41842044
429679.921,4582226.568,2.15781086,41.38664783
429679.921,4582226.568,2.15781086,41.38664783
432995.905,4584981.131,2.1971629,41.41174067
426627.068,4581963.664,2.12133303,41.38400716
426627.068,4581963.664,2.12133303,41.38400716
428843.094,4587518.855,2.14718034,41.43423976
428843.094,4587518.855,2.14718034,41.43423976
427714.854,4583654.888,2.13413961,41.39933787
427714.854,4583654.888,2.13413961,41.39933787
430987.507,4581539.045,2.17352705,41.38056881
430987.507,4581539.045,2.17352705,41.38056881
430987.507,4581539.045,2.17352705,41.38056881
430987.507,4581539.045,2.17352705,41.38056881
431247.107,4588769.685,2.17580925,41.44571505
431247.107,4588769.685,2.17580925,41.44571505
431247.107,4588769.685,2.17580925,41.44571505
431247.107,4588769.685,2.17580925,41.44571505
429260.735,4582212.738,2.15279931,41.38648649
429260.735,4582212.738,2.15279931,41.38648649
426080.857,4581904.764,2.11480827,41.38342664
426080.857,4581904.764,2.11480827,41.38342664
428377.577,4583889.705,2.14203901,41.40151211
431273.075,4584744.549,2.17657793,41.40946429
431273.075,4584744.549,2.17657793,41.40946429
431432.98,4581889.441,2.17881444,41.38376284
431432.98,4581889.441,2.17881444,41.38376284
429364.559,4581149.807,2.15416494,41.37692216
429364.559,4581149.807,2.15416494,41.37692216
427621.972,4585406.975,2.13281894,41.41510982
427621.972,4585406.975,2.13281894,41.41510982
431648.208,4584360.134,2.18110928,41.40603399
431648.208,4584360.134,2.18110928,41.40603399
433654.812,4584414.199,2.20510828,41.40668915
433654.812,4584414.199,2.20510828,41.40668915
427474.692,4581291.865,2.13154996,41.37803341
427474.692,4581291.865,2.13154996,41.37803341
431582.27,4582754.76,2.18050199,41.39156924
431582.27,4582754.76,2.18050199,41.39156924
428631.838,4582893.648,2.14519793,41.39256363
428631.838,4582893.648,2.14519793,41.39256363
428426.742,4581528.367,2.1429063,41.38024879
428426.742,4581528.367,2.1429063,41.38024879
428426.742,4581528.367,2.1429063,41.38024879
431457.598,4586212.433,2.17861905,41.42270081
431457.598,4586212.433,2.17861905,41.42270081
430634.284,4579558.391,2.16952987,41.36269923
430634.284,4579558.391,2.16952987,41.36269923
430634.284,4579558.391,2.16952987,41.36269923
430634.284,4579558.391,2.16952987,41.36269923
431553.566,4584083.988,2.18000834,41.40353877
431553.566,4584083.988,2.18000834,41.40353877
431553.566,4584083.988,2.18000834,41.40353877
431861.687,4584585.354,2.18363774,41.40808061
431861.687,4584585.354,2.18363774,41.40808061
428977.609,4582119.87,2.14942424,41.3856251
428977.609,4582119.87,2.14942424,41.3856251
428886.957,4584568.495,2.1480524,41.40767096
428886.957,4584568.495,2.1480524,41.40767096
431735.719,4588048.318,2.18173959,41.43925968
431735.719,4588048.318,2.18173959,41.43925968
426793.069,4582325.321,2.12327446,41.38727958
426793.069,4582325.321,2.12327446,41.38727958
426793.069,4582325.321,2.12327446,41.38727958
432395.728,4582825.005,2.19022333,41.39227075
432395.728,4582825.005,2.19022333,41.39227075
429286.113,4583360.784,2.15296871,41.39682878
429286.113,4583360.784,2.15296871,41.39682878
428486.198,4584985.202,2.14320881,41.4113885
428486.198,4584985.202,2.14320881,41.4113885
434599.95,4584179.693,2.21644042,41.40465451
434599.95,4584179.693,2.21644042,41.40465451
434599.95,4584179.693,2.21644042,41.40465451
429265.138,4583110.78,2.15274704,41.39457523
429265.138,4583110.78,2.15274704,41.39457523
429265.138,4583110.78,2.15274704,41.39457523
432373.067,4588343.313,2.18933499,41.44197057
432373.067,4588343.313,2.18933499,41.44197057
432373.067,4588343.313,2.18933499,41.44197057
428436.742,4587511.462,2.142318,41.43413706
429037.841,4584358.303,2.1498821,41.40579118
429037.841,4584358.303,2.1498821,41.40579118
428937.379,4582943.857,2.14884641,41.39304291
428937.379,4582943.857,2.14884641,41.39304291
431253.541,4588685.398,2.17589586,41.44495647
431253.541,4588685.398,2.17589586,41.44495647
428098.779,4584438.698,2.13863878,41.40643177
428098.779,4584438.698,2.13863878,41.40643177
432240.223,4588631.351,2.18771258,41.44455362
432240.223,4588631.351,2.18771258,41.44455362
432240.223,4588631.351,2.18771258,41.44455362
427130.794,4583435.82,2.12717974,41.39731207
427130.794,4583435.82,2.12717974,41.39731207
427251.142,4581573.975,2.12884296,41.38055408
427251.142,4581573.975,2.12884296,41.38055408
428037.934,4586382.549,2.13767955,41.42393378
430124.959,4588297.482,2.16243163,41.44136517
430124.959,4588297.482,2.16243163,41.44136517
427227.468,4580727.163,2.12866159,41.37292502
432819.785,4582205.295,2.195364,41.38672473
432819.785,4582205.295,2.195364,41.38672473
429611.286,4583250.113,2.15687102,41.39586055
429611.286,4583250.113,2.15687102,41.39586055
428860.062,4583006.33,2.14791433,41.39359874
428860.062,4583006.33,2.14791433,41.39359874
428860.062,4583006.33,2.14791433,41.39359874
428860.062,4583006.33,2.14791433,41.39359874
427479.717,4584923.4,2.13117493,41.41074164
427479.717,4584923.4,2.13117493,41.41074164
431563.589,4587561.783,2.17973449,41.43486298
427113.636,4582130.469,2.12713167,41.38555375
427113.636,4582130.469,2.12713167,41.38555375
427869.956,4585406.474,2.13578598,41.41512763
427869.956,4585406.474,2.13578598,41.41512763
427869.956,4585406.474,2.13578598,41.41512763
427869.956,4585406.474,2.13578598,41.41512763
433459.912,4585293.215,2.20267994,41.41459009
433459.912,4585293.215,2.20267994,41.41459009
433459.912,4585293.215,2.20267994,41.41459009
430786.526,4585244.587,2.17069986,41.41392619
430786.526,4585244.587,2.17069986,41.41392619
430786.526,4585244.587,2.17069986,41.41392619
429229.584,4584052.694,2.15221163,41.40305558
429229.584,4584052.694,2.15221163,41.40305558
429229.584,4584052.694,2.15221163,41.40305558
431511.503,4583962.35,2.17951893,41.40243963
431511.503,4583962.35,2.17951893,41.40243963
426879.747,4582417.877,2.12429989,41.38812108
431686.263,4583850.066,2.18162213,41.40144319
431686.263,4583850.066,2.18162213,41.40144319
432945.362,4583138.375,2.19676246,41.39513924
432945.362,4583138.375,2.19676246,41.39513924
431103.413,4585525.087,2.17445923,41.4164798
431103.413,4585525.087,2.17445923,41.4164798
427578.774,4580280.39,2.13291544,41.36893281
427578.774,4580280.39,2.13291544,41.36893281
433218.09,4582540.822,2.20009048,41.38977993
433218.09,4582540.822,2.20009048,41.38977993
427842.474,4582730.168,2.13577638,41.39102075
427842.474,4582730.168,2.13577638,41.39102075
426608.597,4582317.999,2.1210692,41.38719681
426608.597,4582317.999,2.1210692,41.38719681
431644.693,4585837.251,2.18090025,41.41933762
431644.693,4585837.251,2.18090025,41.41933762
429451.214,4582209.993,2.15507763,41.38647851
429451.214,4582209.993,2.15507763,41.38647851
429451.214,4582209.993,2.15507763,41.38647851
427709.111,4584490.844,2.13397102,41.40686646
427709.111,4584490.844,2.13397102,41.40686646
430820.104,4582435.324,2.17142281,41.38862695
430820.104,4582435.324,2.17142281,41.38862695
429418.607,4583801.032,2.15450214,41.40080558
429418.607,4583801.032,2.15450214,41.40080558
429418.607,4583801.032,2.15450214,41.40080558
432138.337,4588318.069,2.18652821,41.44172339
432138.337,4588318.069,2.18652821,41.44172339
431905.402,4586258.163,2.18397231,41.42315078
431905.402,4586258.163,2.18397231,41.42315078
433600.115,4582986.309,2.20461063,41.39382397
433600.115,4582986.309,2.20461063,41.39382397
433600.115,4582986.309,2.20461063,41.39382397
431319.177,4583078.941,2.17731855,41.39446662
431319.177,4583078.941,2.17731855,41.39446662
431319.177,4583078.941,2.17731855,41.39446662
428499.732,4582666.131,2.14364477,41.39050273
428499.732,4582666.131,2.14364477,41.39050273
428499.732,4582666.131,2.14364477,41.39050273
428499.732,4582666.131,2.14364477,41.39050273
429705.674,4584990.867,2.15779772,41.41154716
431033.704,4581497.549,2.17408421,41.38019904
431033.704,4581497.549,2.17408421,41.38019904
431033.704,4581497.549,2.17408421,41.38019904
431033.704,4581497.549,2.17408421,41.38019904
431033.704,4581497.549,2.17408421,41.38019904
431033.704,4581497.549,2.17408421,41.38019904
431822.101,4588840.201,2.18268407,41.44639924
428876.917,4581648.35,2.14827543,41.38136938
428876.917,4581648.35,2.14827543,41.38136938
428876.917,4581648.35,2.14827543,41.38136938
428876.917,4581648.35,2.14827543,41.38136938
428427.45,4586473.164,2.14232979,41.42478473
428427.45,4586473.164,2.14232979,41.42478473
432691.69,4587220.413,2.19327391,41.43188377
432691.69,4587220.413,2.19327391,41.43188377
427279.47,4585097.504,2.12875832,41.41229162
427279.47,4585097.504,2.12875832,41.41229162
427279.47,4585097.504,2.12875832,41.41229162
432118.602,4585531.82,2.18660505,41.4166269
432118.602,4585531.82,2.18660505,41.4166269
427033.564,4576155.264,2.12689313,41.33172996
428482.561,4584062.79,2.14327436,41.40308038
428482.561,4584062.79,2.14327436,41.40308038
432598.832,4585106.464,2.19239835,41.41283628
432598.832,4585106.464,2.19239835,41.41283628
428261.798,4585663.623,2.14044365,41.41747875
428261.798,4585663.623,2.14044365,41.41747875
428435.519,4586389.606,2.14243625,41.42403288
